abadi
abai
abdominal
abiotik
abjadiah
abnormal
abras
absah
absolut
absonan
absorptif
abstrak
absurd
abtar
abuh
abuh-abuhan
abur
acak
acak-acakan
acap
acap
aci
aco-acoan
acoan
adaktil
adaptabel
adaptif
adar
adati
adekuat
adhesif
adidaya
adigang
adiguna
adigung
adika
adikodrati
adiktif
adikuasa
adil
adiluhung
adisional
aditama
aditif
adiwarna
administratif
adventisius
aerobik
aerodinamik
afdal
afektif
afiat
afirmatif
afotik
aga
agam
agamais
agamawi
agitatif
agraris
agregatif
agresif
agresif
agul
agung
ahistoris
aib
ajab
ajaib
aji
akademik
akademis
akas
akbar
akhlaki
akli
akliah
akmal
akomodatif
akrab
akseptabel
aksiomatis
aktif
aktual
akuatik
akumulatif
akur
akurat
akustik
akut
ala
alah
alami
alamiah
alang
alang-alangan
albinoid
alegoris
alergis
alfabetis
alga
algoid
alim
alkalis
alpa
altruistis
aluvial
am
amaliah
aman
amatir-amatiran
ambekan
ambigu
ambisius
ambivalen
ambulatori
amelioratif
amerta
ami
amikal
amis
amoral
amorf
ampai
ampang
anaerobik
anaforis
anakronistis
analitis
analog
anarkistis
anasional
anatomis
andal
andam
aneh
aneka
aneka
anggal
anggun
angin-anginan
angit
angker
angkuh
anonim
anorganik
anorgastik
antagonistis
antap
antarbangsa
antarbenua
antarkelompok
antarlingkungan
antarmaster
antarnegara
antarplanet
antarpribadi
antarpulau
antarras
antarruang
antemeridiem
anter-anter
anterior
antik
antikarat
antisiklonal
antisiklonis
antisipatif
antitank
antropoid
antroposentris
antusias
anumerta
anyir
apak
apatis
apatride
apik
aplikatif
apodal
apokaliptik
apokrin
apolitis
apologetis
aposisional
apositif
apostolik
apresiatif
apriori
aprit-apritan
apuh
arau
arbitrer
argumentatif
arif
aring
aristokratis
aritenoid
arkais
arkeologis
arogan
aromatik
artetis
artifisial
artistik
asa-asaan
asak
asal-asalan
asasi
aseksual
aseptik
asih
asiklik
asimetris
asimilatif
asin
asing
asiri
askriptif
asoi
asosial
asosiatif
aspirasional
aspiratif
asri
astatik
astenik
astral
astronomis
asumtif
asusila
asyik
asyik-asyiknya
ateistis
atmosferis
atomistis
atraktif
atributif
audio
audiolingual
audiovisual
aural
aus
autarkis
autentik
autistik
autodidaktik
autokton
automotif
avirulen
awaair
awaarang
awabau
awabeku
awabulu
awah
awahama
awam
awamineral
awanama
awang
awaracun
awawarna
awet
ayal
ayit
ayu
azali
azospermi
baal
babil
babur
bacar
badani
baduk
badung
bagak
bagas
bagur
bagus
bahasa
bahimiah
baik
baik-baik
baka
bakero
bakhil
bakir
bakup
balak
balam
balar
balig
balistik
balut
balut-balut
bambang
banal
bancar
banci
bancuh
bandang
bandel
bangga
bangir
bangkar
bangkas
bangkotan
bangkut
banglas
bangsai
bantat
bantau
banyak
banyak-banyak
baplang
barbar
baru
basah
basau
basi
bata-bata
batal
batangan
baung
bawat
bawel
bayak
bayan
bayu
bebal
bebas
becek
bedebah
begap
begar
beku
belacak
belalah
belalak
belalang
belam
belandung
belantara
belecak
belel
belengkok
belengkokan
belengkong
belengset
belenting
beleter
belia
belimbing
beliut
belobor
belodok
belok
belon
belongkot
belus
beluwek
