aku
ancoa
Anda
apa
apakah
bagaimana
begini
begitu
berapa
beta
bila
bukankah
daku
dari
dari
dari
dari
demikian
di
di
di
di
dia
dikau
dorang
engkau
ia
ini
itu
itulah
kalian
kami
kapan
kau
ke
kita
kitorang
mana
mana-mana
manakan
masing-masing
mengapa
mereka
sana
saya
sedemikian
sendirian
sesuatu
siapa
sini
situ
