adakalanya
adakan
adapun
aduh
aduhai
agar
ah
aho
ai
akan
akh
ala
alah
alamak
alhamdulillah
alhasil
alih-alih
amboi
amin
andaikan
anti
apabila
apalagi
asal
asalkan
astagfirullah
atau
ayo
bagaikan
bagi
bah
bahkan
bahwa
bahwasanya
bak
bakda
bakdu
berkat
biar
biarpun
bilabial
bilamana
cah
cih
cihui
cis
cuh
cup
cus
dalam
dan
dari
daripada
dasar
demi
dengan
di
duhai
duilah
dung
eh
eks
emat
ganal
guna
ha
hai
halo
hatta
hayo
he
hem
hi
his
hitung-hitung
hoi
hore
huh
hus
ia
ialah
ih
iya
jangankan
jika
jikalau
kalau
kalau-kalau
kalaupun
karena
ke
ke
ke
kecuali
kendati
kendatipun
kepada
kian
kok
labial
lillahi
maka
malahan
manakala
manalagi
mari
masya
mau(pun)
maupun
meski
meskipun
nah
namun
oh
oi
oleh
om
pada
padahal
para
per
persetan
prit
puah
pula
pun
punci
pung
pus
salah-salah
sambil
sang
seandainya
sebagai
sebagaimana
secara
sedang
sedangkan
sedari
sehabis
sehingga
sejak
sekalipun
sekeliling
sekira
sekiranya
selain
selaku
selepas
semenjak
sementang
sementang-mentang
sementangkan
sementara
senyampang
seperti
sepertinya
serta
seru
sesudah
sesudah-sudah
sesudahnya
setentang
seturut
si
sio
sri
sungguhpun
supaya
syabas
takat
tatkala
tentang
terhadap
tetapi
timbang
toh
uh
uih
untuk
versus
via
wa
wah
wahai
wai
walah
walau
walaupun
wallahi
weh
ya
yaitu
yakni
yang
yuk
