alaf
aneka
antero
basung
beberapa
belasan
beratus-ratus
berbatu-batu
berdua
berempat
berempat-empat
berenam
bergumpal-gumpal
berhari-hari
beribu-ribu
berjam-jam
berjenis-jenis
berjenjang-jenjang
berjuta-juta
berkarung-karung
berkepal-kepal
berkian-kian
berkilo-kilo
berkodi-kodi
berkoper-koper
berkurun-kurun
berlikur-likur
berlima
berlusin
berlusin-lusin
berminggu-minggu
berpasang-pasang
berpeti-peti
berpikul-pikul
berpuluh-puluh
bertahun-tahun
bertahunan
bertiga
bertruk-truk
beruntai-untai
berwindu-windu
biliun
binokular
catur-
cik
dayung-mayung
delapan
desiliun
dua
dua-dua
dua-duanya
duodesimal
dwiminggu
dwimingguan
empat
empat-empat
enam
esa
jutaan
kedua
kesatu
keti
ketiga
ketiga-tiganya
ketiganya
kuadriliun
laksa
likuran
lima
miliar
miliun
nol
nonilium
paruh
patang
pelbagai
per
peratus
perdana
permil
perseratus
pertama
pertiga
rante
ratusan
rawan
saptapesona
satu
seantero
sebanyak
sebatang
sebegini
sebegitu
sebelanga
sebelas
seberapa
sebilang
sebilangan
secebir
secebis
segala
segenap
sehasta
sejuta
sekalian
seketip
sekodi
sekomeng
sekotes
sekutuk
selangkas
selapan
selapik
selaur
selawe
seluruh
sembilan
semesta
semua
sepadi
separuh
seperatus
seperdua
seperempat
seperlima
seperseratus
sepertiga
seperut
sepeser
sepicis
sepukal
sepuluh
serata
seratus
seraup
sereguk
serepih
seribu
serimis
seruas
serupiah
sesibir
sesukat
setali
setapak
setelempap
setengah
setiap
setunggal
suatu
tiga
tiga-tiganya
triliunan
tujuh
tunggal
unting
wahid
