aci-acinya
ada-adanya
ada-adanyakah
adakala
agak-agak
agaknya
akan
akhir-akhirnya
akhirnya
alangkah
amat
anggar-anggar
aposteriori
baku
barang
barangkali
baru-baru
belaka
beleng
belum
belum-belum
berbareng
berendeng
beresok
berganda-ganda
berjurus-jurus
berka-li-kali
berkelebihan
berlantasan
berlarut-larut
berlebih-lebihan
berlekas-lekas
bermati-mati
bermula-mula
berpelayaran
berpetak-petak
berpotongan
berputusan
bersangatan
bertempat-tempat
bertentu-tentu
biasanya
bila-bila
boleh
bukan
cepat-cepat
cuma
cuma-cuma
dadak
dalam-dalam
dapat
datang-datang
diam-diam
duyun
edan-edanan
embuh-embuhan
enggan
entah
ganal-ganal
gaya-gayanya
gelap-gelapan
gerangan
habis-habisan
hampir
hampir-hampir
hanya
harap-harap
harus
hebat-hebatan
hendak
hendaklah
ibidem
idem
in
ingin
interim
jangan
jangan-jangan
jerongkang
jolong-jolong
jua
juga
justru
kejer
kelihatannya
kemati-matian
kemput
kerap-kerap
kesipu-sipuan
kesipuan
keterlaluan
kimah
kira-kira
kiraan
kiranya
klandestin
konon
kuat-kuat
kurang
kurang-kurang
lagi
lagi-lagi
lama-kelamaan
lama-lama
langsung
lantas
laun-laun
layaknya
lebih-lebih
lekas
makin
malah
malar-malar
masa
masak-masak
masakan
masih
mati-mati
mau
melemping
melulu
memang
mendaun
mentah-mentah
mesti
metah
moga
mula-mula
mungkin
neka-neka
nian
niscaya
non
nun
nyaris
paling
percuma
perlu
pernah
pertama-tama
pesai
puguh
pura-pura
putus-putus
rasanya
rupa-rupanya
rupanya
saja
saling
sama-sama
sampai-sampai
sangat
sangat-sangat
satu-satu
sayup-menyayup
sayup-sayup
seadanya
seagak
seagak-agak
seakal-akal
seakan-akan
sebaik-baiknya
sebaiknya
sebaliknya
sebelum
sebenarnya
sebentar-sebentar
sebetulnya
sebisanya
seboleh-bolehnya
secepatnya
secukupnya
sedalam-dalamnya
sedang
sedapat-dapatnya
sederum
sedia
sedikit-dikitnya
sedikit-sedikit
sedikit-sedikitnya
sedikitnya
sedini-dininya
seelok-eloknya
segala-galanya
segalanya
segera
sehabis-habisnya
seharusnya
seingat
sejadi-jadinya
sejamaknya
sekadar
sekala
sekali
sekali-kali
sekali-sekali
sekalian
sekaligus
sekehendak
sekenyang-kenyangnya
sekenyangnya
seketika
sekira-kira
sekiranya
sekonyong-konyong
sekosong-kosongnya
sekuasa-kuasanya
sekuasanya
sekuat-kuatnya
sekurang-kurangnya
selagi
selalu
selama-lamanya
selamanya
selang
selanjutnya
selari
selat-latnya
selayaknya
selejang
selekas-lekasnya
selekasnya
selepas-lepas
selewat
selincam
selurusnya
semakin
semaksimal
semaksimal-maksimalnya
semaksimalnya
semanis-manisnya
semasih
semata
semata-mata
semau-maunya
sembunyi-sembunyi
sememangnya
semena-mena
semengga-mengga
semerdeka-merdekanya
semestinya
semoga
sempat-sempatnya
semu
semu-semu
semua-muanya
semuanya
senantiasa
sendiri
sendiri-sendiri
sendirinya
sengked
seolah-olah
sepala-pala
sepantasnya
sepatutnya
sepelaung
sepemakan
seperlunya
sepertegak
sepinggang
sepintas
sepraktis-praktisnya
sepuas-puasnya
serba
serejang
serela
seresam
sering
sering-sering
serta-merta
sesanggup
sesayup-sayup
sesebentar
sesegera
sesekali
sesuang-suang
sesudah-sudahnya
sesuka-sukanya
sesukanya
sesungguhnya
setahu
setelah
setempat-setempat
setengah-setengah
seterusnya
setidak-tidaknya
setidaknya
seulang
seumumnya
seutuhnya
sewajarnya
sewajibnya
sewaktu-waktu
sewenang-wenang
seyogianya
sontak
suak
suang-suang
sudah
sungguh-sungguh
suntuk
taajul
tahu-tahu
tak
takut-takut
tampaknya
tanpa
telah
telentang
tempo-tempo
tengah
teramat
terkadang
terkadang-kadang
terkesot-kesot
terlalu
terlampau
terlebih
terlebih-lebih
terlebur
terputus-putus
tersipu
tersipu-sipu
terus-menerus
terus-terusan
tiba-tiba
tidak
tidak-tidak
tingkrang
tubi
tuji
tukung
tulang-tulangan
tunai
tunggang
untung-untung
