a: 312642
n: 207438
e: 207274
i: 171106
r: 132450
s: 115765
u: 113182
t: 109225
m: 104241
k: 103667
o: 101455
l: 91690
g: 71522
h: 66587
d: 61575
p: 60241
b: 53661
y: 50345
c: 44484
f: 18023
j: 17004
w: 16510
v: 13566
z: 8072
x: 3128
q: 2146
