kec: 20
epe: 20
cin: 20
uju: 20
uat: 20
rha: 19
luk: 19
iar: 19
kah: 19
ida: 19
tai: 19
ion: 19
tab: 19
kul: 19
imb: 19
bai: 19
eha: 19
kek: 19
lun: 19
mbo: 19
gak: 19
asu: 19
rbu: 19
tro: 19
pir: 19
mai: 19
uti: 19
ias: 19
ast: 19
tum: 19
ahu: 19
sil: 19
epu: 19
eku: 19
lua: 19
ham: 18
ece: 18
sur: 18
sim: 18
nia: 18
uar: 18
ibu: 18
rad: 18
sul: 18
jua: 18
kol: 18
gge: 18
bil: 18
sih: 18
sua: 18
iga: 18
ngo: 18
lum: 18
gul: 18
sir: 17
pot: 17
yel: 17
jah: 17
ruk: 17
nce: 17
pil: 17
jat: 17
has: 17
spe: 17
rbe: 17
bag: 17
mpo: 17
jut: 17
udi: 17
sit: 17
ins: 17
mul: 17
uny: 17
psi: 17
ayu: 17
ask: 17
muk: 17
bul: 17
bia: 17
atk: 17
rpi: 17
dis: 17
ekt: 17
kin: 17
ebi: 16
oba: 16
pah: 16
nun: 16
keh: 16
rag: 16
nem: 16
nst: 16
kor: 16
dek: 16
yat: 16
epi: 16
jal: 16
sas: 16
api: 16
sum: 16
por: 16
rum: 16
kum: 16
lay: 16
oma: 16
yar: 16
wat: 16
nah: 16
tri: 16
pis: 16
lau: 16
rai: 16
alk: 16
omi: 16
ng-: 16
agu: 16
buh: 16
let: 16
mon: 16
sej: 15
mil: 15
yal: 15
cak: 15
pal: 15
raa: 15
ked: 15
nin: 15
uga: 15
bas: 15
pka: 15
lim: 15
rge: 15
iks: 15
lom: 15
mua: 15
bon: 15
kus: 15
teg: 15
ate: 15
unc: 15
das: 15
bus: 15
aia: 15
rku: 15
nji: 15
tim: 15
eko: 15
mud: 15
rom: 15
pri: 15
lek: 15
sai: 15
mpr: 15
inj: 15
gad: 15
eke: 15
pik: 15
gis: 15
tul: 15
tat: 15
taa: 15
gai: 14
ege: 14
adu: 14
mit: 14
lok: 14
leb: 14
yer: 14
